Video,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
nOsgpAMyhWs,[FULL] 김동연의 미래가 보이는 라디오 1화 첫방송 | 근황토크부터 오징어게임 달고나 장인 김동연? | 김동연TV,"Oct 15, 2021",4,0.1029,0,26,3.85
nfmHjdyyBag,국민들에게 받는 품질검사를 통과하지 못 한 거대 양당 후보,"Nov 11, 2021",3,0.0255,0,6,16.67
oAr2k4vzqSk,"여의도 셀럽 총출동! '새로운물결' 창당 발기인 대회 비하인드 + 햄버거 먹방🍔 (feat.이준석, 송영길 당대표) | 김동연TV","Nov 5, 2021",4,0.0898,0,26,3.85
oWkT8VRtFq8,"시장에서 제대로 소비가 되지 않으면, 투자도, 성장도 못합니다","Nov 3, 2021",3,0.0415,0,8,0
ouhx5FTih3o,대통령 예비후보 김동연 Ai아바타 윈디(winDY) 성탄절 메시지,"Dec 23, 2021",5,0.0504,0,93,4.3
qRO2xC4m8J4,안철수 대표도 시대교체의 대상 중 하나입니다 #Shorts,"Nov 4, 2021",5,0.0542,0,11,9.09
qZUOfuQqh2Y,[맞짱TALK 하이라이트] 지지자가 부르는 새물결의 '바람이 불어오는 곳' #김동연 #맞짱토크 #새로운물결 #연몽지대,"Jan 3, 2022",5,0.0846,0,105,3.81
qmg-6VrfbTw,[현장스케치]복지전문가의 대한노인회 간담회,"Dec 24, 2021",9,0.1265,0,306,1.63
rtDVKY8aILs,기득권도 깨고 달고나도 깨고,"Nov 4, 2021",6,0.0618,0,16,18.75
sPLZZm9miSw,"[특집] ""실학의 현대판이 필요하다"" 다산 정약용과 21세기형 '실학 21' (feat.윤종록 前차관)","Nov 18, 2021",7,0.1524,0,125,0.8
sPmkuuDHeaA,국가로부터 받은 덕을 국민들에게 돌려드리고 싶습니다,"Oct 15, 2021",1,0.0174,0,8,12.5
slA1ZqAFH7E,"[생명의 땅, 전남 투어] 광양・순천・여수를 다녀왔습니다 | 김동연TV","Nov 13, 2021",2,0.0624,0,27,3.7
syK7zenhvHs,만 17세에 처음 만났던 첫 직장 선배님과의 오랜만의 식사 (감동주의),"Nov 8, 2021",4,0.0591,0,22,9.09
u4HiPG7JhWY,"청년 여러분, 행복하셨으면 좋겠습니다","Dec 16, 2021",6,0.0127,0,24,0
uF-YRqAs_cA,김동연 대선 공약 : 소상공인 손실보상금 제대로 드리겠습니다. | 김동연TV,"Dec 20, 2021",17,1.0161,0,589,2.04
uG4nAWoAGcY,"그때 그영상 《2》 , 김동연VS나경원 일자리통계 설전","Oct 7, 2021",5,0.0341,0,8,25
uLmU7xM2lYY,봉사정치 #Shorts,"Dec 5, 2021",1,0.0049,0,16,0
uaxeDvnxURE,야잘알 김동연 #shorts,"Nov 15, 2021",33,0.3067,0,329,6.69
